   best_ntrees  best_score  bst:colsample_bytree   bst:eta  bst:max_depth  \
0          207    0.066576              0.748616  0.202119             26   
1          204    0.067935              0.906350  0.063338             28   
2           89    0.067935              0.889948  0.196942             15   
3          390    0.066123              0.920838  0.058492             10   
4          390    0.064764              0.740787  0.148950             18   

   bst:subsample  early_stopping  n_round  ntrees     score  
0       0.898937             100      800     307  0.067935  
1       0.739395             100      800     304  0.069293  
2       0.977190             100      800     189  0.068841  
3       0.601276             100      800     490  0.067029  
4       0.730962             100      800     490  0.065670  
