    best_ntrees  best_score  bst:colsample_bytree   bst:eta  bst:max_depth  \
0            94    0.051845              0.931535  0.100158             17   
1            92    0.051378              0.968768  0.093629             18   
2           133    0.050911              0.842197  0.043463             26   
3           104    0.050911              0.710946  0.132247             21   
4           141    0.052312              0.985300  0.053184             21   
5           109    0.049043              0.902661  0.197191             11   
6           148    0.048108              0.836721  0.207988             11   
7            98    0.051378              0.917304  0.134239             13   
8            86    0.048575              0.857228  0.138753             16   
9           262    0.051845              0.906034  0.018359             23   
10           76    0.051378              0.771404  0.152163             20   
11           47    0.051378              0.969194  0.194788             17   
12          196    0.048108              0.891396  0.196327             16   
13          153    0.048575              0.725071  0.195012             26   
14          122    0.050444              0.892394  0.109436             16   

    bst:subsample  early_stopping  n_round  ntrees     score  
0        0.520739             100      800     194  0.052312  
1        0.901434             100      800     192  0.052779  
2        0.898369             100      800     233  0.051378  
3        0.966850             100      800     204  0.052779  
4        0.754955             100      800     241  0.054180  
5        0.882263             100      800     209  0.050911  
6        0.886666             100      800     248  0.048575  
7        0.839309             100      800     198  0.052312  
8        0.594383             100      800     186  0.050911  
9        0.616387             100      800     362  0.053246  
10       0.623131             100      800     176  0.051378  
11       0.709124             100      800     147  0.052312  
12       0.553802             100      800     296  0.049977  
13       0.539766             100      800     253  0.050444  
14       0.860486             100      800     222  0.052312  
